[71 x 119 from (426, 245)]
[55 x 102 from (436, 257)]
[53 x 102 from (438, 256)]
[51 x 98 from (440, 258)]
[50 x 106 from (441, 254)]
[51 x 104 from (439, 256)]
[49 x 104 from (442, 256)]
[56 x 106 from (436, 258)]
[46 x 104 from (438, 262)]
[44 x 102 from (441, 262)]
[43 x 102 from (444, 263)]
[44 x 98 from (444, 265)]
[43 x 102 from (448, 263)]
[38 x 104 from (450, 265)]
[42 x 105 from (450, 263)]
[44 x 98 from (449, 268)]
[48 x 103 from (451, 266)]
[43 x 99 from (454, 270)]
[52 x 103 from (450, 267)]
[51 x 96 from (447, 271)]
[48 x 103 from (446, 268)]
[41 x 103 from (446, 266)]
[44 x 103 from (445, 268)]
[41 x 102 from (444, 268)]
[40 x 103 from (444, 269)]
[35 x 100 from (447, 270)]
[36 x 97 from (449, 270)]
[31 x 105 from (450, 271)]
[41 x 111 from (447, 270)]
[36 x 109 from (453, 269)]
[39 x 106 from (454, 272)]
[40 x 107 from (453, 270)]
[40 x 103 from (454, 272)]
[46 x 104 from (453, 270)]
[50 x 102 from (449, 271)]
[51 x 106 from (447, 272)]
[47 x 104 from (448, 272)]
[50 x 104 from (443, 272)]
[53 x 106 from (442, 271)]
[52 x 105 from (441, 272)]
[47 x 106 from (446, 272)]
[42 x 106 from (452, 272)]
[39 x 108 from (459, 267)]
[39 x 111 from (463, 267)]
[37 x 109 from (464, 267)]
[38 x 113 from (466, 265)]
[37 x 110 from (466, 266)]
[41 x 105 from (463, 267)]
[49 x 104 from (458, 265)]
[48 x 111 from (458, 261)]
[55 x 107 from (455, 263)]
[50 x 103 from (458, 264)]
[53 x 101 from (454, 267)]
[54 x 101 from (452, 266)]
[48 x 100 from (453, 267)]
[50 x 102 from (453, 265)]
[46 x 111 from (460, 262)]
[45 x 102 from (462, 265)]
[41 x 111 from (466, 260)]
[42 x 111 from (466, 261)]
[40 x 108 from (467, 261)]
[45 x 110 from (464, 260)]
[46 x 108 from (464, 260)]
[48 x 109 from (466, 260)]
[51 x 110 from (466, 260)]
[53 x 110 from (466, 260)]
[50 x 110 from (466, 260)]
[55 x 109 from (461, 261)]
[55 x 107 from (461, 261)]
[52 x 103 from (464, 265)]
[51 x 103 from (464, 264)]
[53 x 104 from (463, 265)]
[48 x 104 from (466, 263)]
[44 x 108 from (468, 259)]
[46 x 114 from (472, 256)]
[38 x 111 from (477, 259)]
[40 x 110 from (474, 260)]
[42 x 112 from (473, 260)]
[40 x 114 from (473, 260)]
[39 x 116 from (474, 260)]
[44 x 115 from (474, 261)]
[44 x 110 from (474, 261)]
[51 x 109 from (474, 262)]
[51 x 106 from (476, 261)]
[55 x 111 from (474, 259)]
[53 x 105 from (474, 260)]
[56 x 108 from (471, 259)]
[60 x 106 from (466, 261)]
[57 x 105 from (466, 260)]
[57 x 106 from (462, 259)]
[56 x 105 from (465, 258)]
[51 x 108 from (465, 256)]
[51 x 108 from (465, 258)]
[47 x 108 from (469, 254)]
[49 x 108 from (467, 254)]
[41 x 116 from (476, 251)]
[40 x 111 from (477, 253)]
[39 x 114 from (477, 249)]
[38 x 115 from (478, 251)]
[35 x 110 from (477, 250)]
[46 x 117 from (472, 250)]
[42 x 113 from (472, 254)]
[48 x 112 from (463, 255)]
[46 x 108 from (463, 257)]
[44 x 108 from (459, 258)]
[45 x 109 from (459, 256)]
[45 x 109 from (456, 257)]
[47 x 107 from (453, 259)]
[43 x 108 from (454, 254)]
[42 x 107 from (456, 256)]
[42 x 110 from (458, 256)]
[43 x 110 from (458, 257)]
[37 x 114 from (464, 256)]
[39 x 117 from (464, 254)]
[38 x 114 from (462, 259)]
[39 x 115 from (462, 256)]
[39 x 114 from (461, 258)]
[39 x 109 from (464, 259)]
[43 x 115 from (465, 255)]
[49 x 115 from (463, 258)]
[53 x 111 from (460, 259)]
[60 x 110 from (458, 261)]
[57 x 110 from (460, 261)]
[56 x 108 from (460, 261)]
[61 x 105 from (456, 262)]
[60 x 108 from (455, 260)]
[56 x 104 from (455, 259)]
[56 x 112 from (454, 258)]
[51 x 111 from (458, 256)]
[54 x 110 from (454, 257)]
[51 x 114 from (460, 256)]
[47 x 115 from (464, 256)]
[46 x 116 from (467, 253)]
[43 x 111 from (469, 257)]
[43 x 119 from (468, 254)]
[41 x 117 from (468, 258)]
[42 x 118 from (469, 254)]
[46 x 117 from (465, 257)]
[46 x 116 from (470, 259)]
[47 x 114 from (470, 260)]
[50 x 116 from (467, 259)]
[45 x 117 from (472, 259)]
[48 x 112 from (467, 264)]
[42 x 115 from (467, 260)]
[45 x 120 from (467, 258)]
[54 x 116 from (460, 259)]
[47 x 115 from (465, 260)]
[53 x 113 from (460, 262)]
[56 x 116 from (460, 260)]
[59 x 112 from (457, 261)]
[43 x 116 from (473, 261)]
[39 x 116 from (477, 258)]
[41 x 118 from (475, 257)]
[42 x 116 from (474, 259)]
[42 x 113 from (475, 258)]
[47 x 112 from (471, 260)]
[57 x 112 from (469, 259)]
[60 x 114 from (465, 259)]
[61 x 115 from (464, 260)]
[59 x 112 from (461, 263)]
[59 x 115 from (460, 260)]
[56 x 113 from (460, 259)]
[58 x 111 from (456, 260)]
[54 x 109 from (458, 259)]
[53 x 111 from (459, 257)]
[46 x 114 from (464, 257)]
[43 x 114 from (466, 257)]
[40 x 115 from (469, 256)]
[39 x 114 from (469, 255)]
[39 x 113 from (468, 253)]
[43 x 116 from (461, 253)]
[52 x 116 from (457, 249)]
[52 x 115 from (457, 250)]
[46 x 111 from (465, 250)]
[49 x 115 from (463, 249)]
[50 x 115 from (463, 249)]
[43 x 118 from (464, 249)]
[41 x 113 from (466, 249)]
[41 x 113 from (466, 249)]
[44 x 111 from (462, 251)]
[43 x 110 from (461, 248)]
[44 x 109 from (461, 248)]
[44 x 113 from (462, 242)]
[43 x 110 from (462, 240)]
[40 x 110 from (464, 239)]
[37 x 112 from (463, 237)]
[42 x 112 from (460, 237)]
[38 x 112 from (460, 237)]
[35 x 112 from (463, 237)]
[39 x 113 from (460, 239)]
[39 x 115 from (463, 237)]
[42 x 108 from (457, 241)]
[43 x 110 from (456, 243)]
[49 x 111 from (450, 241)]
[46 x 110 from (452, 239)]
[49 x 111 from (447, 243)]
[50 x 108 from (445, 241)]
[48 x 110 from (443, 241)]
[49 x 115 from (441, 237)]
[47 x 114 from (441, 238)]
[50 x 111 from (438, 241)]
[42 x 109 from (442, 241)]
[43 x 118 from (440, 236)]
[41 x 106 from (441, 239)]
[38 x 111 from (442, 241)]
[46 x 106 from (439, 244)]
[41 x 110 from (438, 242)]
[37 x 105 from (443, 245)]
[37 x 105 from (441, 243)]
[39 x 104 from (439, 243)]
[38 x 108 from (439, 241)]
[37 x 106 from (439, 243)]
[38 x 104 from (439, 239)]
[35 x 109 from (440, 240)]
[37 x 102 from (436, 240)]
[35 x 102 from (437, 241)]
[38 x 103 from (434, 241)]
[38 x 103 from (433, 242)]
[34 x 101 from (437, 241)]
[35 x 103 from (436, 242)]
[36 x 106 from (434, 242)]
[38 x 104 from (431, 242)]
[36 x 105 from (431, 241)]
[35 x 104 from (432, 239)]
[37 x 108 from (434, 238)]
[36 x 105 from (432, 241)]
[39 x 105 from (434, 240)]
[36 x 110 from (434, 238)]
[39 x 103 from (434, 241)]
[36 x 100 from (435, 243)]
[37 x 101 from (434, 242)]
[41 x 104 from (432, 241)]
[40 x 98 from (432, 244)]
[37 x 100 from (434, 245)]
[41 x 100 from (432, 245)]
[42 x 96 from (431, 245)]
[45 x 97 from (430, 246)]
[49 x 96 from (429, 244)]
[48 x 99 from (430, 243)]
[52 x 98 from (426, 245)]
[50 x 94 from (427, 247)]
[48 x 96 from (427, 246)]
[48 x 97 from (426, 246)]
[45 x 101 from (430, 246)]
[42 x 99 from (431, 246)]
[44 x 98 from (432, 247)]
[45 x 100 from (432, 247)]
[40 x 99 from (437, 245)]
[33 x 105 from (445, 243)]
[36 x 98 from (446, 245)]
[39 x 100 from (443, 246)]
[36 x 99 from (452, 245)]
[40 x 99 from (448, 246)]
[42 x 98 from (447, 246)]
[47 x 99 from (447, 250)]
[51 x 97 from (446, 248)]
[58 x 96 from (445, 248)]
[60 x 98 from (443, 248)]
[62 x 95 from (445, 251)]
[70 x 97 from (442, 252)]
[67 x 98 from (443, 251)]
[63 x 92 from (446, 253)]
[61 x 104 from (443, 250)]
[53 x 103 from (452, 250)]
[52 x 99 from (453, 250)]
[41 x 100 from (459, 249)]
[37 x 98 from (463, 250)]
[38 x 100 from (464, 250)]
[31 x 100 from (467, 250)]
[30 x 104 from (469, 248)]
[36 x 100 from (466, 250)]
[32 x 98 from (466, 251)]
[37 x 96 from (466, 254)]
[43 x 99 from (464, 252)]
[44 x 102 from (461, 254)]
[51 x 98 from (459, 258)]
[53 x 97 from (455, 257)]
[53 x 99 from (456, 257)]
[57 x 96 from (454, 258)]
[58 x 92 from (453, 259)]
[51 x 99 from (455, 255)]
[55 x 96 from (450, 258)]
[47 x 102 from (456, 250)]
[35 x 101 from (463, 254)]
[39 x 101 from (460, 252)]
[42 x 105 from (458, 252)]
[42 x 104 from (460, 254)]
[40 x 119 from (459, 250)]
[37 x 109 from (458, 251)]
[43 x 112 from (456, 255)]
[51 x 105 from (452, 254)]
[58 x 109 from (446, 254)]
[57 x 101 from (450, 254)]
[66 x 97 from (445, 251)]
[60 x 97 from (451, 252)]
[60 x 103 from (448, 251)]
[54 x 92 from (453, 257)]
[55 x 92 from (451, 257)]
[51 x 92 from (452, 254)]
[51 x 102 from (450, 252)]
[55 x 99 from (448, 252)]
[53 x 93 from (448, 258)]
[42 x 101 from (457, 251)]
[45 x 96 from (456, 254)]
[38 x 102 from (462, 252)]
[35 x 100 from (464, 253)]
[38 x 101 from (461, 254)]
[34 x 97 from (461, 254)]
[38 x 100 from (461, 257)]
[37 x 103 from (461, 254)]
[43 x 103 from (460, 256)]
[46 x 96 from (459, 258)]
[49 x 95 from (457, 259)]
[55 x 98 from (454, 256)]
[51 x 96 from (456, 259)]
[52 x 98 from (455, 256)]
[53 x 93 from (455, 257)]
[49 x 98 from (456, 255)]
[50 x 102 from (454, 251)]
[45 x 95 from (456, 253)]
[39 x 100 from (464, 249)]
[32 x 100 from (467, 249)]
[36 x 95 from (464, 253)]
[37 x 95 from (465, 254)]
[39 x 91 from (466, 254)]
[41 x 91 from (465, 259)]
[44 x 95 from (464, 254)]
[46 x 98 from (461, 253)]
[50 x 95 from (462, 256)]
[49 x 93 from (463, 259)]
[55 x 96 from (457, 254)]
[56 x 90 from (456, 258)]
[56 x 87 from (456, 258)]
[51 x 90 from (461, 255)]
[52 x 92 from (459, 257)]
[50 x 94 from (460, 255)]
[48 x 90 from (463, 255)]
[43 x 92 from (465, 253)]
[37 x 95 from (467, 250)]
[35 x 96 from (469, 250)]
[31 x 93 from (470, 248)]
[35 x 91 from (467, 249)]
[39 x 92 from (464, 246)]
[40 x 92 from (466, 247)]
[40 x 95 from (463, 250)]
[46 x 89 from (464, 249)]
[48 x 90 from (462, 250)]
[50 x 86 from (462, 252)]
[51 x 89 from (458, 251)]
[52 x 88 from (457, 250)]
[47 x 89 from (460, 251)]
[51 x 86 from (456, 252)]
[48 x 89 from (456, 249)]
[43 x 88 from (458, 251)]
[37 x 88 from (460, 251)]
[37 x 90 from (460, 249)]
[36 x 94 from (461, 250)]
[29 x 88 from (466, 248)]
[33 x 93 from (464, 247)]
[35 x 94 from (464, 246)]
[35 x 94 from (464, 248)]
[39 x 94 from (464, 248)]
[44 x 90 from (462, 246)]
[44 x 96 from (464, 241)]
[45 x 92 from (463, 246)]
[45 x 89 from (462, 246)]
[41 x 90 from (466, 245)]
[41 x 86 from (465, 247)]
[39 x 86 from (465, 247)]
[40 x 82 from (463, 246)]
[34 x 85 from (469, 244)]
[30 x 86 from (469, 242)]
[28 x 84 from (472, 240)]
[30 x 83 from (470, 238)]
[30 x 83 from (470, 239)]
[25 x 82 from (473, 241)]
[28 x 85 from (469, 238)]
[26 x 85 from (469, 235)]
[29 x 80 from (467, 239)]
[30 x 87 from (465, 237)]
[33 x 90 from (464, 234)]
[34 x 82 from (465, 237)]
[40 x 80 from (460, 237)]
[40 x 86 from (462, 235)]
[39 x 86 from (459, 238)]
[40 x 84 from (455, 236)]
[37 x 85 from (456, 235)]
[33 x 83 from (456, 236)]
[37 x 81 from (453, 232)]
[35 x 82 from (452, 232)]
[31 x 83 from (454, 228)]
[29 x 85 from (457, 224)]
[30 x 80 from (456, 222)]
[32 x 80 from (452, 222)]
[29 x 77 from (455, 226)]
[41 x 81 from (445, 225)]
[43 x 85 from (447, 221)]
[38 x 85 from (446, 225)]
[41 x 87 from (446, 223)]
[45 x 85 from (443, 224)]
[46 x 77 from (441, 227)]
[43 x 79 from (443, 226)]
[38 x 82 from (445, 224)]
[43 x 81 from (442, 221)]
[44 x 81 from (443, 224)]
[35 x 81 from (447, 223)]
[37 x 81 from (444, 221)]
[32 x 80 from (445, 222)]
[33 x 76 from (447, 219)]
[32 x 84 from (447, 216)]
[32 x 80 from (447, 220)]
[30 x 86 from (448, 216)]
[29 x 85 from (448, 217)]
[30 x 82 from (448, 217)]
[34 x 81 from (447, 217)]
[34 x 80 from (447, 218)]
[31 x 83 from (450, 218)]
[38 x 81 from (447, 218)]
[38 x 85 from (447, 214)]
[38 x 81 from (447, 214)]
[35 x 79 from (447, 216)]
[31 x 76 from (451, 216)]
[30 x 81 from (449, 212)]
[33 x 73 from (447, 217)]
[34 x 82 from (444, 214)]
[35 x 82 from (443, 214)]
