[166 x 303 from (705, 251)]
[131 x 289 from (718, 262)]
[127 x 280 from (712, 265)]
[112 x 278 from (717, 265)]
[97 x 274 from (719, 264)]
[93 x 282 from (714, 263)]
[90 x 277 from (710, 265)]
[80 x 277 from (711, 265)]
[90 x 283 from (703, 261)]
[95 x 287 from (693, 258)]
[114 x 280 from (675, 266)]
[123 x 277 from (665, 265)]
[132 x 286 from (655, 263)]
[139 x 280 from (645, 267)]
[140 x 278 from (644, 269)]
[146 x 279 from (640, 268)]
[150 x 279 from (636, 268)]
[157 x 276 from (633, 271)]
[146 x 281 from (638, 268)]
[154 x 284 from (630, 264)]
[136 x 284 from (639, 265)]
[138 x 277 from (634, 268)]
[131 x 282 from (632, 265)]
[116 x 282 from (638, 266)]
[110 x 277 from (631, 268)]
[98 x 282 from (637, 267)]
[98 x 283 from (628, 266)]
[79 x 284 from (633, 263)]
[96 x 280 from (621, 266)]
[88 x 279 from (621, 266)]
[101 x 275 from (608, 270)]
[110 x 281 from (598, 265)]
[121 x 281 from (587, 267)]
[133 x 278 from (575, 270)]
[142 x 291 from (570, 267)]
[142 x 285 from (565, 269)]
[139 x 282 from (565, 269)]
[141 x 280 from (563, 271)]
[142 x 282 from (563, 271)]
[142 x 276 from (562, 272)]
[139 x 282 from (562, 272)]
[140 x 283 from (555, 270)]
[138 x 287 from (555, 267)]
[118 x 285 from (555, 267)]
[114 x 286 from (559, 266)]
[101 x 282 from (559, 266)]
[93 x 274 from (559, 270)]
[83 x 278 from (560, 268)]
[83 x 287 from (550, 265)]
[83 x 284 from (549, 268)]
[100 x 285 from (530, 266)]
[110 x 287 from (518, 264)]
[122 x 289 from (506, 262)]
[135 x 285 from (495, 267)]
[146 x 279 from (483, 270)]
[145 x 282 from (483, 267)]
[147 x 290 from (482, 265)]
[145 x 291 from (479, 265)]
[139 x 297 from (481, 262)]
[148 x 287 from (475, 263)]
[150 x 289 from (471, 263)]
[134 x 286 from (482, 266)]
[139 x 287 from (472, 267)]
[123 x 290 from (475, 267)]
[105 x 285 from (483, 265)]
[95 x 287 from (481, 261)]
[95 x 284 from (473, 268)]
[107 x 286 from (457, 262)]
[98 x 293 from (462, 259)]
[92 x 281 from (457, 272)]
[108 x 281 from (435, 270)]
[106 x 285 from (437, 266)]
[118 x 283 from (423, 271)]
[125 x 277 from (416, 274)]
[131 x 283 from (412, 271)]
[138 x 279 from (407, 272)]
[141 x 280 from (400, 271)]
[133 x 277 from (410, 275)]
[130 x 278 from (407, 274)]
[136 x 276 from (397, 275)]
[140 x 280 from (391, 270)]
[130 x 283 from (393, 271)]
[116 x 278 from (395, 269)]
[102 x 276 from (401, 270)]
[101 x 279 from (390, 272)]
[95 x 282 from (387, 269)]
[88 x 281 from (387, 269)]
[84 x 279 from (388, 270)]
[84 x 281 from (383, 271)]
[100 x 278 from (371, 272)]
[122 x 274 from (349, 276)]
[139 x 276 from (334, 274)]
[155 x 276 from (319, 273)]
[153 x 272 from (322, 274)]
[152 x 272 from (321, 276)]
[148 x 277 from (320, 275)]
[149 x 280 from (319, 272)]
[149 x 286 from (320, 269)]
[147 x 291 from (315, 267)]
[138 x 287 from (315, 267)]
[130 x 287 from (323, 267)]
[114 x 286 from (321, 267)]
[112 x 286 from (313, 264)]
[105 x 284 from (311, 268)]
[101 x 295 from (306, 263)]
[99 x 286 from (299, 264)]
[104 x 290 from (293, 264)]
[107 x 284 from (289, 267)]
[112 x 285 from (279, 269)]
[111 x 284 from (277, 270)]
[131 x 284 from (258, 269)]
[132 x 285 from (260, 270)]
[136 x 287 from (253, 267)]
[138 x 284 from (250, 270)]
[140 x 284 from (251, 270)]
[143 x 286 from (247, 269)]
[145 x 283 from (242, 273)]
[141 x 280 from (237, 270)]
[127 x 284 from (244, 271)]
[117 x 287 from (244, 265)]
[113 x 285 from (239, 267)]
[105 x 282 from (240, 268)]
[94 x 295 from (240, 264)]
[90 x 285 from (235, 269)]
[84 x 292 from (233, 262)]
[87 x 289 from (230, 265)]
[89 x 287 from (223, 268)]
[111 x 286 from (200, 267)]
[127 x 289 from (189, 266)]
[145 x 289 from (169, 265)]
[144 x 289 from (170, 265)]
[146 x 290 from (170, 267)]
[156 x 281 from (158, 272)]
[155 x 285 from (161, 272)]
[148 x 283 from (163, 272)]
[143 x 288 from (163, 268)]
[142 x 285 from (164, 273)]
[142 x 287 from (157, 271)]
[134 x 286 from (159, 271)]
[119 x 288 from (167, 268)]
[116 x 288 from (159, 268)]
[118 x 288 from (152, 270)]
[107 x 286 from (150, 272)]
[102 x 290 from (146, 269)]
[100 x 291 from (138, 266)]
[103 x 291 from (137, 269)]
[106 x 289 from (127, 268)]
[117 x 289 from (117, 270)]
[113 x 288 from (120, 271)]
[121 x 295 from (111, 266)]
[127 x 287 from (110, 274)]
[131 x 285 from (102, 275)]
[125 x 283 from (107, 274)]
[127 x 280 from (106, 276)]
[124 x 282 from (103, 275)]
[116 x 282 from (106, 274)]
[114 x 289 from (103, 272)]
[104 x 293 from (105, 269)]
[103 x 287 from (98, 271)]
[97 x 288 from (98, 272)]
[91 x 295 from (91, 267)]
[93 x 280 from (87, 276)]
[94 x 288 from (83, 271)]
[97 x 283 from (78, 277)]
[108 x 287 from (67, 274)]
[111 x 289 from (59, 274)]
[124 x 280 from (50, 278)]
[140 x 280 from (37, 278)]
[134 x 280 from (33, 276)]
[140 x 278 from (32, 278)]
[141 x 276 from (30, 280)]
[140 x 278 from (30, 278)]
[143 x 282 from (24, 278)]
[145 x 282 from (26, 278)]
[139 x 284 from (26, 273)]
[136 x 282 from (26, 277)]
[126 x 288 from (32, 274)]
[127 x 284 from (25, 273)]
[123 x 284 from (24, 272)]
[119 x 287 from (23, 275)]
[107 x 287 from (25, 273)]
[104 x 284 from (17, 272)]
[99 x 291 from (12, 269)]
[97 x 286 from (8, 269)]
[106 x 281 from (6, 273)]
[105 x 277 from (0, 281)]
[101 x 283 from (0, 270)]
[100 x 283 from (1, 274)]
[99 x 285 from (0, 271)]
[99 x 281 from (0, 275)]
[99 x 282 from (0, 274)]
[97 x 280 from (0, 277)]
[96 x 283 from (0, 273)]
[100 x 284 from (0, 273)]
[98 x 285 from (0, 271)]
[94 x 274 from (0, 280)]
[91 x 286 from (0, 273)]
