[130 x 275 from (827, 178)]
[65 x 236 from (849, 206)]
[68 x 229 from (841, 213)]
[91 x 228 from (820, 211)]
[110 x 229 from (798, 211)]
[121 x 228 from (784, 214)]
[142 x 226 from (767, 215)]
[138 x 226 from (762, 215)]
[134 x 229 from (759, 215)]
[141 x 232 from (753, 216)]
[133 x 225 from (750, 219)]
[125 x 228 from (749, 219)]
[118 x 229 from (745, 217)]
[100 x 228 from (745, 218)]
[90 x 232 from (740, 217)]
[77 x 231 from (738, 217)]
[65 x 235 from (735, 216)]
[76 x 229 from (716, 216)]
[72 x 229 from (709, 218)]
[85 x 236 from (698, 216)]
[100 x 229 from (682, 219)]
[114 x 229 from (665, 220)]
[120 x 230 from (654, 221)]
[124 x 225 from (645, 224)]
[136 x 222 from (634, 223)]
[139 x 220 from (629, 225)]
[135 x 222 from (626, 225)]
[135 x 223 from (622, 226)]
[131 x 220 from (619, 227)]
[120 x 226 from (621, 221)]
[112 x 228 from (618, 223)]
[99 x 232 from (618, 221)]
[87 x 232 from (618, 220)]
[74 x 234 from (617, 217)]
[64 x 232 from (613, 219)]
[75 x 231 from (593, 218)]
[75 x 234 from (591, 221)]
[73 x 233 from (588, 219)]
[98 x 229 from (564, 222)]
[111 x 228 from (548, 224)]
[118 x 227 from (536, 225)]
[130 x 222 from (526, 227)]
[132 x 220 from (522, 229)]
[137 x 224 from (516, 230)]
[131 x 225 from (513, 230)]
[128 x 223 from (513, 231)]
[119 x 224 from (511, 230)]
[108 x 223 from (509, 231)]
[101 x 221 from (501, 231)]
[92 x 229 from (497, 229)]
[77 x 233 from (495, 227)]
[65 x 225 from (491, 229)]
[62 x 227 from (477, 229)]
[65 x 226 from (465, 231)]
[68 x 228 from (458, 231)]
[89 x 223 from (432, 232)]
[109 x 219 from (409, 233)]
[120 x 217 from (395, 234)]
[129 x 222 from (382, 233)]
[136 x 217 from (370, 237)]
[137 x 215 from (360, 237)]
[138 x 213 from (356, 237)]
[134 x 219 from (350, 235)]
[132 x 221 from (346, 234)]
[120 x 225 from (344, 232)]
[111 x 224 from (339, 231)]
[101 x 227 from (336, 231)]
[87 x 230 from (330, 229)]
[80 x 231 from (324, 228)]
[84 x 232 from (305, 226)]
[81 x 232 from (292, 226)]
[90 x 237 from (278, 225)]
[94 x 232 from (264, 224)]
[96 x 228 from (254, 226)]
[101 x 228 from (246, 226)]
[110 x 221 from (228, 228)]
[115 x 224 from (217, 227)]
[124 x 219 from (203, 229)]
[124 x 225 from (196, 229)]
[119 x 223 from (192, 227)]
[120 x 219 from (183, 232)]
[109 x 223 from (176, 228)]
[96 x 223 from (174, 227)]
[90 x 224 from (166, 227)]
[78 x 224 from (158, 226)]
[74 x 228 from (148, 223)]
[62 x 226 from (143, 221)]
[75 x 232 from (124, 223)]
[69 x 225 from (117, 223)]
[88 x 222 from (94, 225)]
[103 x 230 from (72, 214)]
[124 x 218 from (47, 225)]
[131 x 215 from (31, 225)]
[131 x 220 from (23, 226)]
